0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
id,city,region,country_name,latitude,longitude,Genealogical researcher,GLAM professional,Government employee,Legal researcher,Member of the general public,Post-secondary researcher,Student,Teacher,Other Identification,Computer Science,Digital Humanities,Education,Environment/Climate,Gender Studies,Genealogy,Geography,Health,History,Indigenous Land Claims,Indigenous Studies,Information Science,Law,Linguistics,Literature,Political Science,Other Interest
118486161664,Sebring,Florida,United States,27.4279,-81.3544,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486159490,,,,,,0,0,0,0,0,0,0,1,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
118486124224,Courtenay,British Columbia,Canada,49.6585,-124.9835,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118486094745,Edmonton,Alberta,Canada,53.5349,-113.5181,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
118486093897,,,,,,0,0,0,0,0,0,0,0,pastor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,missionaries to british guiana 
118486084369,Philadelphia,Pennsylvania,United States,39.959786,-75.163246,1,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
118486069535,,,,,,0,0,1,0,0,1,0,1,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
118486046074,,,,,,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118486022654,Cambridge,Ontario,Canada,43.4389,-80.2649,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118486010276,Pointe-Claire,Quebec,Canada,45.4499,-73.8104,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,art
118485970033,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485936922,London,England,United Kingdom,51.507863,-0.126912,0,0,0,0,0,0,1,0,saskatoon theological union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theology
118485935898,London,England,United Kingdom,51.507863,-0.126912,0,0,0,0,0,0,1,0,saskatoon theological union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theology
118485808511,Toronto,Ontario,Canada,43.725102,-79.402439,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485786457,Brampton,Ontario,Canada,43.6803,-79.7275,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
118485589654,Toronto,Ontario,Canada,43.6667,-79.3804,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
118485586127,Kansas City,Missouri,United States,39.1027,-94.5778,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485584565,Delta,British Columbia,Canada,49.1588,-122.9176,0,0,0,0,0,0,0,0,rosslander,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
118485582497,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485562832,Salem,Oregon,United States,44.9028,-122.9133,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
118485539236,Ellensburg,Washington,United States,47.0046,-120.5068,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
118485538239,,,,,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
